V,throttle,thrust,power
31.057143,1.0,2.282564,85.708642
32.042857,0.0,0.0,0.0
32.042857,0.05,0.0,0.0
32.042857,0.1,0.0,0.0
32.042857,0.15,0.0,0.0
32.042857,0.2,0.0,0.0
32.042857,0.25,0.0,0.0
32.042857,0.3,0.0,0.0
32.042857,0.35,0.0,0.0
32.042857,0.4,0.0,0.0
32.042857,0.45,0.0,0.0
32.042857,0.5,0.0,0.0
32.042857,0.55,0.0,0.0
32.042857,0.6,0.0,0.0
32.042857,0.65,0.0,0.0
32.042857,0.7,0.0,0.0
32.042857,0.75,0.0,0.0
32.042857,0.8,0.0,0.0
32.042857,0.85,0.0,0.0
32.042857,0.9,0.0,0.0
32.042857,0.95,0.671543,32.311763
32.042857,1.0,1.732887,69.263594
33.028571,0.0,0.0,0.0
33.028571,0.05,0.0,0.0
33.028571,0.1,0.0,0.0
33.028571,0.15,0.0,0.0
33.028571,0.2,0.0,0.0
33.028571,0.25,0.0,0.0
33.028571,0.3,0.0,0.0
33.028571,0.35,0.0,0.0
33.028571,0.4,0.0,0.0
33.028571,0.45,0.0,0.0
33.028571,0.5,0.0,0.0
33.028571,0.55,0.0,0.0
33.028571,0.6,0.0,0.0
33.028571,0.65,0.0,0.0
33.028571,0.7,0.0,0.0
33.028571,0.75,0.0,0.0
33.028571,0.8,0.0,0.0
33.028571,0.85,0.0,0.0
33.028571,0.9,0.0,0.0
33.028571,0.95,0.078475,13.099044
33.028571,1.0,1.168058,51.545585
34.014286,0.0,0.0,0.0
34.014286,0.05,0.0,0.0
34.014286,0.1,0.0,0.0
34.014286,0.15,0.0,0.0
34.014286,0.2,0.0,0.0
34.014286,0.25,0.0,0.0
34.014286,0.3,0.0,0.0
34.014286,0.35,0.0,0.0
34.014286,0.4,0.0,0.0
34.014286,0.45,0.0,0.0
34.014286,0.5,0.0,0.0
34.014286,0.55,0.0,0.0
34.014286,0.6,0.0,0.0
34.014286,0.65,0.0,0.0
34.014286,0.7,0.0,0.0
34.014286,0.75,0.0,0.0
34.014286,0.8,0.0,0.0
34.014286,0.85,0.0,0.0
34.014286,0.9,0.0,0.0
34.014286,0.95,0.0,0.0
34.014286,1.0,0.567194,31.764968
35.0,0.0,0.0,0.0
35.0,0.05,0.0,0.0
35.0,0.1,0.0,0.0
35.0,0.15,0.0,0.0
35.0,0.2,0.0,0.0
35.0,0.25,0.0,0.0
35.0,0.3,0.0,0.0
35.0,0.35,0.0,0.0
35.0,0.4,0.0,0.0
35.0,0.45,0.0,0.0
35.0,0.5,0.0,0.0
35.0,0.55,0.0,0.0
35.0,0.6,0.0,0.0
35.0,0.65,0.0,0.0
35.0,0.7,0.0,0.0
35.0,0.75,0.0,0.0
35.0,0.8,0.0,0.0
35.0,0.85,0.0,0.0
35.0,0.9,0.0,0.0
35.0,0.95,0.0,0.0
35.0,1.0,0.0,9.907379
